StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,Q10,ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I am more of a,My favorite dessert is,Which of the following beverages have you had this week (select all that apply),How many pages were in the book that is physically closest to you?,Estimate the weight of this cow. Please enter a number.,I have experience with the following statistical tools (choose all that apply).,523
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID2""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID12""}",876
12/29/23 12:43,12/29/23 12:43,0,68.80.119.250,100,9,1,12/29/23 12:43,R_3MhOFXcYbaSvLN4,NA,NA,NA,NA,39.9635,-75.2297,anonymous,EN,NA,NA,NA,NA,NA,NA,490
12/29/23 12:41,12/29/23 12:43,0,71.225.67.171,100,112,1,12/29/23 12:43,R_7f3ilD45VeGMbdI,NA,NA,NA,NA,39.934,-75.16,anonymous,EN,1,1,"2,4",273,4389,NA,166
12/29/23 12:43,12/29/23 12:46,0,68.80.119.250,100,172,1,12/29/23 12:46,R_7jNgPe50SOvvTrG,NA,NA,NA,NA,39.9635,-75.2297,anonymous,EN,2,1,"2,4,7",32,1200,NA,318
12/29/23 12:45,12/29/23 12:48,0,69.136.71.52,100,202,1,12/29/23 12:48,R_1zBlIuCTrxiIy8B,NA,NA,NA,NA,39.9597,-75.1995,anonymous,EN,1,3,"1,2,4",383,850,NA,626
12/29/23 13:13,12/29/23 13:16,0,172.56.222.105,100,168,1,12/29/23 13:16,R_6Czed57tnf2aC77,NA,NA,NA,NA,39.9635,-75.2297,anonymous,EN,1,1,"2,3,4,5",352,1500,NA,655
1/2/24 10:03,1/2/24 10:04,0,71.225.240.68,100,88,1,1/2/24 10:04,R_203w3QLZTnMZV4J,NA,NA,NA,NA,39.9664,-75.1685,anonymous,EN,1,1,"3,4,5",869,1700,NA,182
1/2/24 21:39,1/2/24 21:41,0,71.203.121.109,100,123,1,1/2/24 21:41,R_1HZg6mBTKXk8gmw,NA,NA,NA,NA,39.8562,-75.2991,anonymous,EN,2,3,"2,3,4,5,8",56,1400,NA,219
,,,,,,,,,,,,,,,,,2,2,4,81,1256,NA,305
