name,AMPM,Dessert,Pages,Ate_Garbage_Plate
5106,morning person.,Brownies,350,1
6633,morning person.,I don't care for dessert.,12,0
7599,night owl.,Ice Cream,300,1
4425,morning person.,I don't care for dessert.,0,1
2495,morning person.,Brownies,264,0
6355,night owl.,Ice Cream,4,1
8810,morning person.,Ice Cream,289,0
3877,night owl.,Ice Cream,550,1
1554,night owl.,Brown Butter Chocolate Chip Cookies,349,0
7743,morning person.,Ice Cream,300,0
8353,morning person.,Brownies,424,1
2921,morning person.,Ice Cream,426,0
7327,night owl.,Brownies,231,0
5462,morning person.,Ice Cream,290,1
9362,morning person.,Brownies,1000,1
7539,night owl.,Cheese,250,1
1367,morning person.,Ice Cream,329,0
6311,night owl.,Ice Cream,7,0
4518,morning person.,Ice Cream,99,1
9929,morning person.,Brownies,527,1
7040,morning person.,I don't care for dessert.,400,1
5129,morning person.,Ice Cream,158,1
2671,night owl.,Cheese,832,1
5051,night owl.,Ice Cream,240,0
4386,morning person.,Brownies,324,0
5341,night owl.,Brown Butter Chocolate Chip Cookies,217,1
3291,morning person.,Ice Cream,200,1
4512,night owl.,Brownies,10,0
7410,morning person.,Ice Cream,407,1
4071,night owl.,Ice Cream,142,0
6178,night owl.,Cheese,400,1
5743,morning person.,Brownies,300,0
1386,night owl.,Ice Cream,500,1
8863,night owl.,Ice Cream,1000,1
6196,NA,NA,NA,1
3940,NA,NA,NA,1
1800,NA,NA,NA,0
2926,NA,NA,NA,1
9235,NA,NA,NA,0
4162,NA,NA,NA,0
5844,NA,NA,NA,1
8575,NA,NA,NA,0
7944,NA,NA,NA,0
2169,NA,NA,NA,0
4755,NA,NA,NA,1
4350,NA,NA,NA,1
4108,NA,NA,NA,1
2869,NA,NA,NA,0
3515,NA,NA,NA,0
8896,NA,NA,NA,1
6836,NA,NA,NA,1
6073,NA,NA,NA,1
8397,NA,NA,NA,0
5046,NA,NA,NA,0
7128,NA,NA,NA,0
1050,NA,NA,NA,0
3799,NA,NA,NA,1
1651,NA,NA,NA,1
8984,NA,NA,NA,1
1958,NA,NA,NA,1
