ID,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,SurveyID,ExternalReference,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6
5106,2020-07-30 12:15:20,2020-07-30 12:18:59,IP Address,100,219,True,2020-07-30 12:18:59,R_ssTGHZwy5EpQaNX,NA,email,EN,morning person.,Brownies,"Coffee,Water,The tears of my enemies",350,350
6633,2020-07-30 12:18:50,2020-07-30 12:20:21,IP Address,100,91,True,2020-07-30 12:20:22,R_2fv9VCk0tjdrDOr,NA,email,EN,morning person.,I don't care for dessert.,"Coffee,Tea,Water,Milk",12,56
7599,2020-07-30 12:21:55,2020-07-30 12:24:12,IP Address,100,137,True,2020-07-30 12:24:13,R_1jcQt2E9JqI93Xz,NA,email,EN,night owl.,Ice Cream,"Fruit Juice,Tea,Water,Fizzy Water",300,5000
4425,2020-07-30 12:22:38,2020-07-30 12:24:16,IP Address,100,97,True,2020-07-30 12:24:16,R_3dWBrw6LdoJ9Slq,NA,email,EN,morning person.,I don't care for dessert.,"Fruit Juice,Coffee,Water",0,50
2495,2020-07-30 12:24:45,2020-07-30 12:26:52,IP Address,100,127,True,2020-07-30 12:26:52,R_1qfdWVfr5to5Iwl,NA,email,EN,morning person.,Brownies,"Coffee,Water",264,286
6355,2020-07-30 12:29:26,2020-07-30 12:33:20,IP Address,100,233,True,2020-07-30 12:33:20,R_1H616dBOMQHwEf7,NA,email,EN,night owl.,Ice Cream,"Fruit Juice,Tea,Water",4,250
8810,2020-07-30 12:50:29,2020-07-30 12:52:06,IP Address,100,97,True,2020-07-30 12:52:06,R_2z5RjhoTyYVCl4A,NA,email,EN,morning person.,Ice Cream,"Coffee,Fizzy Water,The tears of my enemies",289,76
3877,2020-07-30 12:52:15,2020-07-30 12:54:40,IP Address,100,144,True,2020-07-30 12:54:40,R_xg5mG1bOWs7gSUp,NA,email,EN,night owl.,Ice Cream,"Tea,Water,Fizzy Water,Milk,The tears of my enemies",550,185
1554,2020-07-30 13:23:31,2020-07-30 13:25:15,IP Address,100,103,True,2020-07-30 13:25:15,R_1EjsVTqCsJWqVoO,NA,email,EN,night owl.,Brown Butter Chocolate Chip Cookies,"Fruit Juice,Water,The tears of my enemies",349,108
7743,2020-07-30 13:24:19,2020-07-30 13:28:11,IP Address,100,231,True,2020-07-30 13:28:11,R_2WTsu5NwBEzatZv,NA,email,EN,morning person.,Ice Cream,"Fruit Juice,Tea,Water,Fizzy Water,Milk",300,220
8353,2020-07-30 13:32:34,2020-07-30 13:36:10,IP Address,100,216,True,2020-07-30 13:36:11,R_3CIV2viqV7CIcg9,NA,email,EN,morning person.,Brownies,"Coffee,Water",424,500
2921,2020-07-30 13:29:30,2020-07-30 13:36:33,IP Address,100,422,True,2020-07-30 13:36:33,R_1CqimgZlvzj5S2Z,NA,email,EN,morning person.,Ice Cream,"Coffee,Tea,Water,The tears of my enemies",426,350
7327,2020-07-30 13:51:27,2020-07-30 13:56:25,IP Address,100,297,True,2020-07-30 13:56:25,R_1pxSlgXp84lxgZP,NA,email,EN,night owl.,Brownies,"Coffee,Tea,Water,Fizzy Water",231,412
5462,2020-07-30 13:59:00,2020-07-30 14:04:31,IP Address,100,331,True,2020-07-30 14:04:31,R_2S16WLx9DEvY0vP,NA,email,EN,morning person.,Ice Cream,"Coffee,Water,Fizzy Water,Milk",290,1135
